policy_id,is_claim
ID58593,0
ID58594,1
ID58595,0
ID58596,0
ID58597,0
ID58598,1
ID58599,1
ID58600,1
ID58601,1
ID58602,0
ID58603,0
ID58604,0
ID58605,0
ID58606,0
ID58607,1
ID58608,0
ID58609,0
ID58610,0
ID58611,0
ID58612,0
ID58613,1
ID58614,1
ID58615,0
ID58616,0
ID58617,1
ID58618,1
ID58619,0
ID58620,0
ID58621,0
ID58622,0
ID58623,0
ID58624,0
ID58625,0
ID58626,1
ID58627,0
ID58628,0
ID58629,0
ID58630,1
ID58631,1
ID58632,1
ID58633,1
ID58634,1
ID58635,0
ID58636,0
ID58637,1
ID58638,1
ID58639,1
ID58640,1
ID58641,0
ID58642,0
ID58643,1
ID58644,1
ID58645,0
ID58646,1
ID58647,0
ID58648,1
ID58649,1
ID58650,0
ID58651,1
ID58652,0
ID58653,0
ID58654,0
ID58655,0
ID58656,1
ID58657,1
ID58658,0
ID58659,0
ID58660,1
ID58661,1
ID58662,0
ID58663,0
ID58664,0
ID58665,0
ID58666,0
ID58667,0
ID58668,0
ID58669,0
ID58670,1
ID58671,1
ID58672,1
ID58673,1
ID58674,1
ID58675,0
ID58676,0
ID58677,0
ID58678,0
ID58679,0
ID58680,0
ID58681,0
ID58682,1
ID58683,0
ID58684,0
ID58685,1
ID58686,1
ID58687,1
ID58688,0
ID58689,1
ID58690,0
ID58691,0
ID58692,1
ID58693,0
ID58694,0
ID58695,1
ID58696,0
ID58697,1
ID58698,0
ID58699,0
ID58700,0
ID58701,0
ID58702,0
ID58703,0
ID58704,0
ID58705,1
ID58706,1
ID58707,0
ID58708,0
ID58709,1
ID58710,1
ID58711,0
ID58712,1
ID58713,0
ID58714,0
ID58715,0
ID58716,1
ID58717,1
ID58718,0
ID58719,0
ID58720,1
ID58721,0
ID58722,0
ID58723,1
ID58724,0
ID58725,0
ID58726,1
ID58727,0
ID58728,0
ID58729,0
ID58730,1
ID58731,1
ID58732,0
ID58733,0
ID58734,0
ID58735,0
ID58736,0
ID58737,0
ID58738,1
ID58739,1
ID58740,0
