policy_id,is_claim
ID58593,1
ID58594,0
ID58595,0
ID58596,1
ID58597,0
ID58598,0
ID58599,1
ID58600,1
ID58601,0
ID58602,0
ID58603,1
ID58604,0
ID58605,1
ID58606,0
ID58607,1
ID58608,1
ID58609,1
ID58610,0
ID58611,1
ID58612,1
ID58613,0
ID58614,0
ID58615,0
ID58616,1
ID58617,1
ID58618,0
ID58619,1
ID58620,1
ID58621,0
ID58622,0
ID58623,0
ID58624,0
ID58625,0
ID58626,0
ID58627,0
ID58628,0
ID58629,0
ID58630,1
ID58631,0
ID58632,0
ID58633,0
ID58634,1
ID58635,0
ID58636,1
ID58637,0
ID58638,1
ID58639,0
ID58640,0
ID58641,1
ID58642,0
ID58643,0
ID58644,1
ID58645,1
ID58646,0
ID58647,0
ID58648,1
ID58649,0
ID58650,1
ID58651,0
ID58652,0
ID58653,1
ID58654,0
ID58655,0
ID58656,0
ID58657,0
ID58658,1
ID58659,1
ID58660,0
ID58661,0
ID58662,1
ID58663,0
ID58664,1
ID58665,0
ID58666,0
ID58667,1
ID58668,1
ID58669,0
ID58670,0
ID58671,0
ID58672,0
ID58673,0
ID58674,1
ID58675,0
ID58676,0
ID58677,0
ID58678,0
ID58679,1
ID58680,0
ID58681,0
ID58682,0
ID58683,0
ID58684,0
ID58685,0
ID58686,1
ID58687,0
ID58688,1
ID58689,1
ID58690,1
ID58691,0
ID58692,1
ID58693,0
ID58694,1
ID58695,1
ID58696,0
ID58697,1
ID58698,0
ID58699,1
ID58700,0
ID58701,0
ID58702,0
ID58703,0
ID58704,0
ID58705,0
ID58706,1
ID58707,0
ID58708,1
ID58709,1
ID58710,1
ID58711,1
ID58712,1
ID58713,1
ID58714,1
ID58715,1
ID58716,1
ID58717,0
ID58718,1
ID58719,0
ID58720,0
ID58721,0
ID58722,1
ID58723,0
ID58724,1
ID58725,0
ID58726,0
ID58727,1
ID58728,0
ID58729,1
ID58730,0
ID58731,0
ID58732,1
ID58733,1
ID58734,0
ID58735,1
ID58736,0
ID58737,0
ID58738,1
ID58739,0
ID58740,1
ID58741,0
ID58742,0
ID58743,1
ID58744,0
ID58745,1
ID58746,0
ID58747,0
ID58748,0
ID58749,1
ID58750,1
ID58751,0
ID58752,1
ID58753,1
ID58754,1
ID58755,0
ID58756,0
ID58757,0
ID58758,1
ID58759,1
ID58760,0
ID58761,0
ID58762,0
ID58763,0
ID58764,1
ID58765,0
ID58766,0
ID58767,0
ID58768,0
ID58769,1
ID58770,1
ID58771,1
ID58772,0
ID58773,0
ID58774,0
ID58775,1
ID58776,0
ID58777,1
ID58778,1
ID58779,0
ID58780,1
ID58781,0
ID58782,1
ID58783,0
ID58784,1
ID58785,0
ID58786,1
ID58787,1
ID58788,1
ID58789,0
ID58790,1
ID58791,0
ID58792,1
ID58793,1
ID58794,0
ID58795,0
ID58796,1
ID58797,0
ID58798,1
ID58799,0
ID58800,0
ID58801,0
ID58802,1
ID58803,0
ID58804,0
ID58805,1
ID58806,0
ID58807,0
ID58808,0
ID58809,1
ID58810,1
ID58811,1
ID58812,0
ID58813,0
ID58814,0
ID58815,1
ID58816,0
ID58817,0
ID58818,1
ID58819,0
ID58820,0
ID58821,0
ID58822,1
ID58823,0
ID58824,0
ID58825,1
ID58826,0
ID58827,0
ID58828,1
ID58829,0
ID58830,0
ID58831,1
ID58832,1
ID58833,1
ID58834,0
ID58835,0
ID58836,0
ID58837,0
ID58838,1
ID58839,0
ID58840,0
ID58841,0
ID58842,0
ID58843,1
ID58844,0
ID58845,0
ID58846,0
ID58847,1
ID58848,1
ID58849,0
ID58850,1
ID58851,1
ID58852,1
ID58853,0
ID58854,1
ID58855,0
ID58856,1
ID58857,1
ID58858,0
ID58859,1
ID58860,1
ID58861,1
ID58862,1
ID58863,0
ID58864,0
ID58865,1
ID58866,0
ID58867,1
ID58868,1
ID58869,0
ID58870,1
ID58871,0
ID58872,1
ID58873,0
ID58874,0
ID58875,1
ID58876,0
ID58877,1
ID58878,0
ID58879,1
ID58880,1
ID58881,1
ID58882,0
ID58883,0
ID58884,0
ID58885,0
ID58886,0
ID58887,0
ID58888,1
ID58889,0
ID58890,1
ID58891,1
ID58892,1
ID58893,0
ID58894,0
ID58895,0
ID58896,0
ID58897,1
ID58898,1
ID58899,1
ID58900,0
ID58901,1
ID58902,0
ID58903,1
ID58904,0
ID58905,0
ID58906,1
ID58907,0
ID58908,0
ID58909,0
ID58910,0
ID58911,0
ID58912,1
ID58913,1
ID58914,0
ID58915,1
ID58916,1
ID58917,1
ID58918,0
ID58919,0
ID58920,0
ID58921,1
ID58922,1
ID58923,0
ID58924,1
ID58925,0
ID58926,1
ID58927,1
ID58928,1
ID58929,0
ID58930,0
ID58931,1
ID58932,0
ID58933,1
ID58934,1
ID58935,0
ID58936,1
ID58937,1
ID58938,0
ID58939,1
ID58940,0
ID58941,1
ID58942,1
ID58943,1
ID58944,1
ID58945,0
ID58946,0
ID58947,0
ID58948,0
ID58949,1
ID58950,0
ID58951,0
ID58952,1
ID58953,0
ID58954,0
ID58955,0
ID58956,1
ID58957,0
ID58958,0
ID58959,0
ID58960,0
ID58961,0
ID58962,0
ID58963,1
ID58964,0
ID58965,1
ID58966,0
ID58967,1
ID58968,1
ID58969,0
ID58970,1
ID58971,0
ID58972,0
ID58973,0
ID58974,1
ID58975,1
ID58976,1
ID58977,1
ID58978,0
ID58979,0
ID58980,0
ID58981,0
ID58982,0
ID58983,1
ID58984,0
ID58985,0
ID58986,0
ID58987,0
ID58988,0
ID58989,1
ID58990,0
ID58991,1
ID58992,0
ID58993,0
ID58994,1
ID58995,0
ID58996,0
ID58997,1
ID58998,1
ID58999,1
ID59000,0
ID59001,0
ID59002,0
ID59003,1
ID59004,1
ID59005,1
ID59006,0
ID59007,0
ID59008,0
ID59009,0
ID59010,1
ID59011,1
ID59012,1
ID59013,1
ID59014,0
ID59015,0
ID59016,1
ID59017,0
ID59018,0
ID59019,0
ID59020,1
ID59021,1
ID59022,1
ID59023,0
ID59024,1
ID59025,1
ID59026,1
ID59027,0
ID59028,0
ID59029,1
ID59030,1
ID59031,1
ID59032,1
ID59033,0
ID59034,1
ID59035,0
ID59036,1
ID59037,1
ID59038,0
ID59039,1
ID59040,1
ID59041,1
ID59042,0
ID59043,1
ID59044,1
ID59045,0
ID59046,0
ID59047,0
ID59048,1
ID59049,1
ID59050,0
ID59051,0
ID59052,1
ID59053,0
ID59054,1
ID59055,0
ID59056,0
ID59057,0
ID59058,1
ID59059,0
ID59060,1
ID59061,0
ID59062,0
ID59063,1
ID59064,1
ID59065,1
ID59066,0
ID59067,0
ID59068,1
ID59069,0
ID59070,0
ID59071,0
ID59072,0
ID59073,1
ID59074,0
ID59075,0
ID59076,0
ID59077,0
ID59078,0
ID59079,1
ID59080,0
ID59081,0
ID59082,0
ID59083,1
ID59084,0
ID59085,1
ID59086,1
ID59087,0
ID59088,0
ID59089,1
ID59090,0
ID59091,1
ID59092,0
ID59093,0
ID59094,1
ID59095,1
ID59096,1
ID59097,1
ID59098,0
ID59099,0
ID59100,0
ID59101,0
ID59102,1
ID59103,1
ID59104,0
ID59105,0
ID59106,1
ID59107,1
ID59108,1
ID59109,0
ID59110,0
ID59111,0
ID59112,0
ID59113,0
ID59114,0
ID59115,0
ID59116,0
ID59117,0
ID59118,1
ID59119,0
ID59120,0
