policy_id,is_claim
ID58593,0
ID58594,1
ID58595,0
ID58596,0
ID58597,0
ID58598,0
ID58599,0
ID58600,1
ID58601,0
ID58602,1
ID58603,0
ID58604,0
ID58605,0
ID58606,0
ID58607,0
ID58608,1
ID58609,0
ID58610,0
ID58611,1
ID58612,1
ID58613,0
ID58614,1
ID58615,0
ID58616,1
ID58617,1
ID58618,0
ID58619,0
ID58620,0
ID58621,0
ID58622,0
ID58623,0
ID58624,0
ID58625,1
ID58626,0
ID58627,0
ID58628,0
ID58629,1
ID58630,0
ID58631,0
ID58632,0
ID58633,1
ID58634,0
ID58635,0
ID58636,0
ID58637,1
ID58638,0
ID58639,1
ID58640,0
ID58641,1
ID58642,0
ID58643,0
ID58644,0
ID58645,0
ID58646,0
ID58647,0
ID58648,1
ID58649,0
ID58650,1
ID58651,0
ID58652,0
ID58653,0
ID58654,0
ID58655,0
ID58656,0
ID58657,0
ID58658,1
ID58659,0
ID58660,0
ID58661,0
ID58662,1
ID58663,0
ID58664,0
ID58665,1
ID58666,0
ID58667,0
ID58668,0
ID58669,0
ID58670,0
ID58671,0
ID58672,0
ID58673,1
ID58674,0
ID58675,0
ID58676,0
ID58677,0
ID58678,0
ID58679,1
ID58680,0
ID58681,0
ID58682,1
ID58683,0
ID58684,0
ID58685,0
ID58686,1
ID58687,0
ID58688,0
ID58689,0
ID58690,0
ID58691,1
ID58692,0
ID58693,0
ID58694,0
ID58695,0
ID58696,0
ID58697,0
ID58698,0
ID58699,0
ID58700,0
ID58701,0
ID58702,0
ID58703,0
ID58704,0
ID58705,0
ID58706,0
ID58707,0
ID58708,0
ID58709,0
ID58710,0
ID58711,1
ID58712,0
ID58713,1
ID58714,0
ID58715,0
ID58716,0
ID58717,0
ID58718,1
ID58719,1
ID58720,1
ID58721,0
ID58722,0
ID58723,1
ID58724,0
ID58725,0
ID58726,0
ID58727,0
ID58728,0
ID58729,1
ID58730,0
ID58731,1
ID58732,0
ID58733,1
ID58734,0
ID58735,0
ID58736,0
ID58737,1
ID58738,0
ID58739,1
ID58740,1
